Domaine d'intervention;STRUCTURE PORTEUSE;ESPACE/LIEUX/SERVICE;ADRESSE;CP;VILLE;INTITULE ACTION;Coordonnées Référent;DESCRIPTION;METHODE ET OUTILS;MODE D'INTERVENTION;PUBLIC CIBLE;SITE INTERNET
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;IMAGES ET MOUVEMENT;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Réalisés au moyen d’un appareil photo, d’une tablette ou même d’un Smartphone, ces formats courts s’adaptent à tous types de publics. Une idée, des Legos, des objets du quotidien, de la pâte à modeler ou un simple crayon suffisent pour raconter une histoire courte, transmettre une idée, une ambiance ou une émotion. Cette formation donnera l’occasion de découvrir une multitude de techniques et formats permettant de raconter une histoire sous une forme multimédia.;Déroulé : • Inspiration et exploration • Découverte d’usages innovants • Échange, partage• Conception collective d’un format d’intervention • Prise en main des outils • Mise en pratique et cas d’usage à traiter;FORMATION;Médiateurs culturels et numériques, bibliothécaires, animateurs, enseignants, éducateurs... souhaitant enrichir leur offre de médiation auprès de leur(s) public(s) ou construire un projet culturel ou éducatif;
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;JEUX et CRÉATION NUMÉRIQUE;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Il semble important à l’heure où les nouvelles générations voient leur imaginaire formé par l’interactivité et les nouveaux médias, d’enrichir les regards et pratiques sur cet univers du divertissement. Cette formation propose d’explorer et manipuler le jeu comme un outil-fiction capable de révéler de nouveaux espaces de dialogue, de partage et de créativités.;Déroulé : • Inspiration et exploration • Découverte d’usages innovants • Échange, partage• Conception collective d’un format d’intervention • Prise en main des outils • Mise en pratique et cas d’usage à traiter;FORMATION;Médiateurs culturels et numériques, bibliothécaires, animateurs, enseignants, éducateurs... souhaitant enrichir leur offre de médiation auprès de leur(s) public(s) ou construire un projet culturel ou éducatif;
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;PAPER CRAFT 2.0;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Le papercraft ou “pepakura» est l’art de réaliser des structures en papier à partir de formes en trois dimensions. Les modèles 3D sont convertis en patrons à découper et à coller pour former la structure. La fabrication de papercraft est aujourd’hui renouvelée par l’apport du numérique, grâce à l’utilisation de logiciels permettant de convertir facilement une image 3D en patron à découper et de machines à commande numérique permettant de découper automatiquement et très précisément l’image souhaitée. Cette formation propose la prise en main de cette technique créative.;Déroulé : • Inspiration et exploration • Découverte d’usages innovants • Échange, partage• Conception collective d’un format d’intervention • Prise en main des outils • Mise en pratique et cas d’usage à traiter;FORMATION;Médiateurs culturels et numériques, bibliothécaires, animateurs, enseignants, éducateurs... souhaitant enrichir leur offre de médiation auprès de leur(s) public(s) ou construire un projet culturel ou éducatif;
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;DU DESSIN à L'IMPRESSION 3D;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Qui n’a pas rêvé d’une machine permettant de réaliser de petits objets simplement ? Aujourd’hui, grâce à un peu d’imagination, un feutre et une imprimante 3D, chacun peut crayonner son invention, la transposer en volume et l’imprimer en plastique de couleurs en quelques clics ! De la fabrique de tampon, à la création d’emporte-pièces, de modules de constructions, de petites réparations...les possibles sont infinis. Cette formation permet d’élargir son champ de connaissances de ces nouvelles pratiques et favorise la prise en main d’outils simples à mettre en oeuvre en ateliers.;"Déroulé : Inspiration, exploration et découverte d’une grande diversité d’usages; Découverte de différentes techniques de production simplifiées; Prise en main des outils;  Mise en pratique et cas d’usage à traiter??";FORMATION;Médiateurs culturels et numériques, bibliothécaires, animateurs, enseignants, éducateurs... souhaitant enrichir leur offre de médiation auprès de leur(s) public(s) ou construire un projet culturel ou éducatif;
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;TRANSFAIRE #1;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;"TRANSFAIRE est un cycle de formation itinérant qui vise à encourager l’appropriation des usages numériques dans le cadre de projets de médiation. L'expérimentation et le ""faire"" sont au coeur de la formation qui s’adresse à un ensemble de structures (musées, bibliothèques, structures éducatives et sociales...), principalement ancrées sur des zones rurales.  Chaque structure participant à TRANSFAIRE accueille une ou plusieurs journées de formation, créant ainsi un parcours.L’objectif prioritaire de TRANSFAIRE est d’enrichir un territoire en stimulant les coopérations et la mutualisation de ressources. Le parcours de formation utilise pour cela des méthodes de transmission de pairs à pairs innovantes et encourage la mise en réseau entre les acteurs-relais de publics les ressources locales (EPN, créatifs, associations….) TRANSFAIRE#1 fait suite à une première année d'expérimentation et se déroulera sur la période 2016-2017. Il sera accessible à l’ensemble des structures culturelles et éducatives du Département 13. Plusieurs domaines d'usages sont proposés à l'exploration : o Fabrique d’image et réalité virtuelle 
o Fabrique sonore et création interactive
o Conception, modélisation et fabrique d’objets
o Fabrique d’hologrammes
o Jeux et création numérique 
";"UNE PÉDAGOGIE BASÉE SUR LE TACITE ET L’EXPÉRIMENTATION. TRANSFAIRE s’appuie sur une méthode pédagogique centrée sur la pratique et l’expérimentation. Chaque format d’animation et de partage est l’occasion de découvrir de nouveaux usages innovants du numérique, via des phases d’inspiration, de conception collective et de mise en pratique auprès d'un petit groupe de public. 
Les participants découvrent des projets inspirants, duplicables dans leurs champs de pratiques et touchent du doigt ces technologies nouvelles. Chacun expérimente ainsi de façon concrète et enrichit ses savoir-faire.
";FORMATION;professionnels de la médiation, de l'animation et de l'accueil des publics;
INSERTION ET FORMATION PROFESSIONNELLE;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Formation B2IA;04 42 64 59 75 coordnum@anonymal.tv;Formation B2IA;Un poste informatique par stagiaire , un vidéoprojecteur , logiciels.;Formation;Tout public, entreprises, associations, demandeurs d'emploi;
INSERTION ET FORMATION PROFESSIONNELLE;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Formation Bureautique Libre Office;04 42 64 59 75 coordnum@anonymal.tv;Formation Bureautique LibreOffice;Un poste informatique par stagiaire , un vidéoprojecteur , logiciels.;Formation;Tout public, entreprises, associations, demandeurs d'emploi;
INSERTION ET FORMATION PROFESSIONNELLE;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Formation Création Web;04 42 64 59 75 coordnum@anonymal.tv;Formation Création Web;Un poste informatique par stagiaire , un vidéoprojecteur , logiciels.;Formation;Tout public, entreprises, associations, demandeurs d'emploi;
INSERTION ET FORMATION PROFESSIONNELLE;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;Passeport Internetet Multime?dia (PIM);04 91 60 06 97  f.arborescence@gmail.com;Attestation des capacite?s a? utiliser un e?quipement informatique et les services de base d’internet ;Animation par me?diateur nume?rique. PC ;Ateliers collectifs hebdomadaires ;Tout public ;
INSERTION ET FORMATION PROFESSIONNELLE;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;ERIC Services: les Essentiels;04 91 60 06 97  f.arborescence@gmail.com;Boi?te a ?outils nume?rique du demandeur d’emploi ;Animation par me?diateur nume?rique PC -tablette et smartphone ;Ateliers collectifs hebdomadaires ;Demandeurs d’emploi ;
INSERTION ET FORMATION PROFESSIONNELLE;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;ERIC Services: TacTic;04 91 60 06 97  f.arborescence@gmail.com;Etre pro-actif dans sa recherche d’emploi utiliser les outils bureautique– Utiliser les re?seaux sociaux.;Animation par me?diateur nume?rique. ;Ateliers collectifs hebdomadaires ;Demandeurs d’emploi  et porteurs de projets;
INSERTION ET FORMATION PROFESSIONNELLE;Centre Social Familial Saint Gabriel Canet Bon Secours;;12, Rue Richard ;13307;Marseille Cedex 14;Café de l'emploi;;Accompagnement emploi et numérique.;Travail en groupe, accès et accompagnement sur l’outil numérique dans le cadre de l’emploi.;Accès individuel au numérique;Demandeurs d’emploi;
INSERTION ET FORMATION PROFESSIONNELLE;Centre socio-culturel Jean-Paul Coste;;217 avenue Jean-Paul Coste;13100;Aix-en-Provence;JobCamp;ialbaladejo@cscjeanpaulcoste.com;Atelier d’aide à la recherche d’emploi et à l’initiation aux outils numériques nécessaires et efficaces dans sa recherche. Animé par une conseillère en insertion professionnelle et une médiatrice numérique. ;Outils utilisés : kit audiovisuels, logiciels de bureautique, internet, applications. Techniques : apprentissage pédagogique, théorique et appropriation des outils numériques;"Activité
Accompagnement individuel
";"A la recherche d’un emploi dans la plupart des cas
Jeune dans le cadre de l’orientation professionnelle

";
INSERTION ET FORMATION PROFESSIONNELLE;Emmaüs Connect;;10 boulevard National;13001;Marseille;Connexions Solidaires ; Tel: 06 23 30 35 48 Mail: ccisse@emmaus-connect.org;"• Des offres d’équipements personnels, fiables et individuels (téléphones, ordinateurs) ainsi que des offres de télécommunication pour pouvoir appeler et se connecter à internet ; 
• Un service de conseil et d’accompagnement individuel et personnalisé aux usages durables du numérique 
• Des ateliers pédagogiques permettant d’acquérir des compétences numériques de base et de découvrir les services numériques clés en situation d'insertion sociale et/ou professionnelle
";;Accompagnement individuel, Activité, Formation;Personnes en difficulté sociale et/ou financière, en situation d’insertion sociale et/ou professionnelle;
INSERTION ET FORMATION PROFESSIONNELLE;Emmaüs Connect;;10 boulevard National;13001;Marseille;;Tel: 06 25 40 73 75 Mail: mpantobe@emmaus-connect.org;"Il s'agit d'une offre de formation professionnelle adossée à des outils opérationnels (cartographies, guides, etc.) permettant aux professionnels de l’action sociale et de l’insertion de monter en compétences dans l’accompagnement numérique à travers trois modules de formation : 
• Inclusion numérique : diagnostiquer et orienter
• La médiation numérique : postures et bonnes pratiques
• Agir en proposant des actions collectives
";Echanges d’expériences, mises en situation, études de cas, jeux.;Formation;Intervenants/Référents sociaux et d'insertion, CESF, travailleurs sociaux, CSU, etc.;
INSERTION ET FORMATION PROFESSIONNELLE;La Bo[a]te ;;35 rue de la paix marcel paul ;13001;Marseille;Cartopartie OSM;Tel: 09 54 24 09 15 Mail: contact@laboate.com ;;Atelier , apport theorique, presentiel;Formation en presentiel ;Grand public, collectivité, EPN centre sociaux, entreprises;
INSERTION ET FORMATION PROFESSIONNELLE;La Bo[a]te ;;35 rue de la paix marcel paul ;13001;Marseille;Formation Wordpress;Tel: 09 54 24 09 15 Mail: contact@laboate.com ;;Atelier , apport theorique, presentiel;Formation en presentiel ;Créateur d'entreprise, grand public, associations, groupement, etc.;
INSERTION ET FORMATION PROFESSIONNELLE;La Bo[a]te ;;35 rue de la paix marcel paul ;13001;Marseille;Atelier arduino;Tel: 09 54 24 09 15 Mail: contact@laboate.com ;;Atelier ;Presentiel;Bidouilleurs, curieux, developpeurs, informaticiens, ;
INSERTION ET FORMATION PROFESSIONNELLE;La Bo[a]te ;;35 rue de la paix marcel paul ;13001;Marseille;Langage de programmation;Tel: 09 54 24 09 15 Mail: contact@laboate.com ;;Atelier , apport theorique, presentiel;Presentiel;Plutôt informaticiens;
INSERTION ET FORMATION PROFESSIONNELLE;La Bo[a]te ;;35 rue de la paix marcel paul ;13001;Marseille;Langage de programmation;Tel: 09 54 24 09 15 Mail: contact@laboate.com ;;Atelier , apport theorique, presentiel;Presentiel;Plutôt informaticiens;
